Column,Name,Attendance
1.,Mrs. Ziporah Ndegwa - Chairman,8
2.,Mr. Maurice Nduranu,8
3.,Dr. Reginalda Wanyonyi,8
4.,Dr. Musa Arusei,8
5.,Mrs. Rebecca Miano,8
