No.,Project Name,Capacity (MW),COD
1.,Olkaria I Rehabilitation,63,2026
2.,Olkaria IAU & IV Turbine Uprating/ Topping Plant,40,2029
3.,Seven Forks Solar,42.5,2027
4.,Gogo Redevelopment,8.6,2028
5.,Olkaria VII,80.3,2028
6.,Olkaria VI,140,2028
7.,Marsabit wind 100MW up to 1000MW,100/200,2029
8.,Wellhead Leasing 58.42MW,58.42,2027
9.,Battery Energy Storage System (BESS),"100MW/
200MWh",2027
