Column,Risk,Risk Rating,Mitigation Strategies
1.,"Single Buyer Model
The regulatory framework in Kenya is a single buyer model
where KenGen currently sells all its generated electricity to
a single off-taker. This may lead to reduced growth due to
capped market options.",High,"As we continue to divest into other revenue generation modes,
we also participate in Power demand creation to strengthen the
single buyer by expanding the power market as well as enhancing
our stakeholders’ engagement on operationalization of the
Energy Act 2018."
2.,"Resource Sustainability
Unfavourable hydrological conditions and changes in
geological formation underneath the earth’s surface could
adversely affect the generating capacity of the company.",High,"KenGen has enhanced collaboration with stakeholders to sustain
water catchment areas through afforestation. There is also a
proposed fund which we are now seeking to progress the hydro
risk mitigation fund with other sector players to manage the
hydro risk. We are also implementing Reservoir Management
Systems, including steam re-injection, and optimising the use of
geothermal resources based on advanced geothermal modelling."
3.,"Competition
The Energy Act of 1997 introduced competition in electricity
generation in Kenya. In addition, the feed in tariff policy of
2012 which seeks to increase renewable energy in Kenya
through participation of the private sector has brought about
competition which may lead to reduced market share and
reduced uptake of KenGen generated electricity.",High,"As we continue to divest into other revenue generation modes,
we also participate in Power demand creation to strengthen the
single buyer by expanding the power market as well as enhancing
our stakeholders’ engagement on operationalization of the
Energy Act 2018."
4.,"Power evacuation from Generation sites
Timely completion of transmission line projects is critical to
ensure evacuation of the generation capacity to meet Kenya’s
electricity needs. Agencies concerned with the mandate
of constructing transmission lines may face challenges
leading to delays in construction of transmission lines or
maintenance of the same. This may lead to low evacuation
on a timely basis, thus affecting revenue and disrupting
national supply.",Medium,"The Good to Great revamped strategy to add 2500MW by 2025 is
geothermal-led and will ensure that KenGen maintains its market
share as the leading electricity generator in Kenya. We are also
progressing our model B business model through partnerships
such as joint ventures, Private Public Partnerships and joint
developments and playing a bigger role in the power chain
through our diversification model e.g. focus to play in the mini
grids, microgrids, solar manufacturing etc."
5.,"Changes in the Legal, Regulatory and Political
Environment
KenGen operates in a regulated business environment
and is subject to numerous laws and regulations regarding
operations, including conditions relating to tariffs, expansion
activities, environmental compliance as well as regulatory
and license conditions. Changes in policies, regulations and
laws could expose the company to risks that could result to
increased losses due to stranded assets.",Medium,"In addition to KenGen’s enhanced collaboration with the relevant
national and County government arms, we are active participants
in discussions on emerging legislation and regulations and
ensuring a change in law clause is included in the Power Purchase
Agreements."
6.,"Reputational Risk
KenGen is a listed company and negative publicity that may
arise from corporate governance, ethics and integrity may
lead to decline in the market share price and failure to attract
investors to finance our projects.",Medium,"We continue to proactively manage our brand with a focus on
social media and other brand initiatives such as establishing
a brand ambassadors’ concept. We have also put up a Karibu
centre for quick resolution of public complaints that may be
directly channelled through the Commission on Administrative
Justice."
7.,"Social and community risk
KenGen’s plants and stations are located close to
communities who have varied expectations which KenGen
may not meet satisfactorily. As a result, projects may be
stopped or delayed, and plants rendered inoperable due to
community agitation.",Medium,"Through the Community Liaison Department, we have recently
launched a sound Community Engagement Strategy to enhance
engagement with community leaders, staff and members of
the public. This is in addition to the continued involvement in
Corporate Social Investment (CSI) activities through the KenGen
CSI program and KenGen foundation."
8.,"Stakeholder Relationship Management Risks
KenGen has diverse internal and external stakeholders who
have diverse needs and expectations whose management is
critical in ensuring projects are delivered time.",Medium,"We are committed to a robust stakeholder management
framework that ensures there is continuous monitoring and
reporting of key issues emanating from various engagements
with the identified stakeholders through our Key Stakeholders
Management Strategy."
