"Elected at the AGM on 28th November 2024
Appointed Chairman of the Board on 5th December 2024"
"Cabinet Secretary, The National Treasury"
"Principal Secretary, State Department for Energy"
Managing Director & CEO
Elected at the AGM on 28th November 2024
Retired on 28th November 2024
"Alternate Director to CS, The National Treasury"
"Alternate Director to Principal Secretary, State Department for Energy"
"Representative, Inspectorate of State Corporations"
