No.,INDEX ACTIVITY,STATUS
1.,"Baseline environmental
assessments","All the sites requested have
already been finalized"
2.,"Joint cadastral survey for the new
project sites",Finalized and handed over
3.,Participation in project CIT,The ongoing Olkaria I Rehab
4.,Celebration of World Wildlife Day,"Participated in and supported
the park clean-up exercise"
