"30 June 2025
KShs Million","30 June 2024
KShs Million"
"27,892
3,958
(1,233)","34,278
3,181
(614)"
"30,617","36,845"
"(13,592)
(3,384)","(8,917)
(3,635)"
"(16,976)","(12,552)"
"(2,399)
(2,174)
(4,286)
(268)","(8,082)
(2,878)
(2,901)
(276)"
"(9,127)","(14,137)"
"4,514","10,156"
"25,618
(8)","15,474
(12)"
"30,124","25,618"
