30 June 2023,Column,Column,Column,Column,Column,Column,Column
"Trade receivables-Kenya
Power",21,N/A,Performing,Lifetime ECL,"22,314,971","(866,093)","21,448,878"
"Treasury bonds at
amortized cost",18(c),N/A,Performing,Lifetime ECL,"2,359,882","(23,807)","2,336,075"
Treasury bonds at FVOCI,23,N/A,Performing,Lifetime ECL,"320,422",-,"320,422"
Deferred debt receivable,18(a),N/A,Performing,Lifetime ECL,"875,055","(33,963)","841,092"
Contract asset,18(d),N/A,Performing,Lifetime ECL,"5,563,491","(215,931)","5,347,560"
Financial asset-IFRIC 12,18(b),N/A,Performing,Lifetime ECL,"1,372,280","(53,261)","1,319,019"
"Other receivables
(excluding prepayments)",22,N/A,Performing,Lifetime ECL,"4,959,104","(517,405)","4,441,699"
"Cash and cash
equivalents held at bank",24 (a),"A, BBB, B+, B-",Performing,12 Month ECL,"15,470,703","(475,572)","14,995,131"
Restricted cash,24 (d),"A, BBB, B+, B-",Performing,12 Month ECL,"1,875,204","(13,849)","1,861,356"
Exposure to credit risk,,,,,"55,111,112","(2,199,880)","52,911,232"
