Column,30 June 2020,30 June 2019
Equity attributable to KenGen shareholders,"211,318","194,965"
Current debt,"8,481","12,463"
Non-current debt,"137,350","128,772"
Total debt,"145,831","141,235"
Total capitalization,"357,149","336,199"
