BOARD COMMITTEES,Column
"Audit, Risk &
Compliance Committee","Mr. Samuel Kimani (Chair)
Mr. Bernard Ndungu (Alternate Director to the CS The National Treasury )
Ms. Winnie Pertet
Hon. Stephen Mutai
Ms. Josephine Koisaba"
Strategy Committee,"Ms. Winnie Pertet (Chair)
Mr. Stephen Njue (Alternate Director to PS-State Department for Energy)
Mr. James Opindi
Mr. William Rahedi
Mr. Abraham Serem"
"Human Resource &
Nomination Committee","Dr. Rosemarie Wanyoike (Chair)
Mr. William Rahedi
Mr. Samuel Kimani
Ms. Winnie Pertet
Mr. Abraham Serem"
Governance Advisory Committee,"Hon. Stephen Mutai (Chair)
Ms. Josephine Koisaba
Mr. James Opindi
Dr. Rosemarie Wanyoike
Mr. Abraham Serem"
Finance Committee,"Mr. William Rahedi (Chair)
Mr. Bernard Ndungu
Mr. Stephen Njue (Alternate Director to PS-State Department for Energy)
Mr. James Opindi
Mr. Abraham Serem"
