Abraham Serem,"Ag. Managing Director and
CEO (Served until on 17th
August 2023)","15,045",-,-,-,-,"15,045"
Rebecca Miano,"Managing Director and CEO
(Retired on 28th October 2022)","5,188",-,-,-,-,"5,188"
Total,,"20,233",-,-,-,-,"20,233"
