Distribution of Wealth,Column,Column,Column,Column
"Employees -Salaries, Wages
and other benefits","7,082,496",17.8%,"6,800,376",18.
Government-Taxes,"(4,587,306)",-11.5%,"3,769,382",10.
Shareholders’ Dividends,"1,978,357",5.0%,"1,648,631",4.
Retention to support future Business Growth:,,,,
Retained Earnings,"16,398,736",41.1%,"6,235,704",17.
Depreciation and Amortization,"12,029,561",30.2%,"10,360,330",28.
Suppliers and other expenses,"6,755,539",16.9%,"7,029,299",19.
Corporate Social Responsibility,"207,251",0.5%,"97,507",0.
Wealth Created,"39,864,634",100%,"35,941,229",100
