NAME,ATTENDANCE
Hon. Stephen Mutai - (Chairperson),7
Ms. Josephine Koisaba,7
Dr. Rosemarie Wanyoike,7
Mr. Bernard Ngugi,3
Eng. Peter Njenga,7
