No,Achievement
1,"Involvement in KenGen’s strategic projects, including the Company’s geothermal project in Kenya, Ethiopia and Djibouti."
2,"Participation in sector innovation programs, including KenGen’s Good to Great, global innovation forum."
3,Environmental sustainability through tree-planting hence contributing to green and sustainable communities.
4,Participation in the United Nations Global Compact’s Young SDG Innovators Programme (YSIP)
5,USAID partnership with KenGen in the Girls 4 Girls (G4G) mentorship program
6,Partnering with Bamburi Cement Company to help them create their own Youth Forum.
7,"Y-Gen & the Youth Energy Summit: attended the inaugural Youth Energy Summit during the African Energy Forum held in
Brussels, Belgium"
8,"Participated in the Rotary International programmes where KenGen created its own corporate rotary club (RC Generate)
aimed to serve communities through various charitable initiatives. Y-Gen was earmarked as a key driver behind this
initiative. The Club’s inaugural board largely consists of membership from the Y-Gen forum."
9,"Y-Gen and wellness: where the initiative takes a distinct focus towards the professional and personal development of its
members, working towards a generation that is productive & impactful both at work and in our communities."
10,"Creation of the Watts Up Podcast Platform: where talks and programs touching on various topical issues such as career
growth, mental health and parenting."
11,"Adoption of an International Youth Week: where the week on which the International Youth Day falls is set aside for
companywide activities promoting the youth agenda and celebrating the importance of youth in the bigger picture of
business sustainability."
