Column,2023,2022
,KShs’000,KShs’000
Profit before income tax,"8,524,816","6,191,985"
Income tax expense,"(3,508,339)","(2,810,237)"
Profit for the year,"5,016,477","3,381,748"
"Other comprehensive loss/income for the year, net of tax","(4,101,756)","66,211,409"
Total comprehensive income for the year,"914,721","69,593,157"
