NAME,ATTENDANCE
Hon. Alfred Agoi,14
Eng. Peter Njenga,14
Ms. Josephine Koisaba,14
Hon. Stephen Mutai,14
Mr. William Rahedi,14
Eng. Frank Konuche,14
CPA Bernard Ngugi,14
Mr. Umuro Wario,14
Hon. Rehema Hassan,7
Mr. Kennedy Ondieki,13
Mr. Chrispin Lupe,14
