No.,Strategy Committee,Attendance
,Maurice Nduranu - Chairperson,
2.,Phyllis Wakiaga,11
,James Opindi,
4.,"Stephen Njue (Alternate Director to PS
State Department for Energy)",3
,Rebecca Miano,
