Investor Pool,Records,Shares,Percentage
Local Institutions,"7,932","5,043,387,937",76.48%
Foreign Investors,939,"851,347,247",12.91%
Local Individual,"181,892","699,787,155",10.61%
Grand Total,"190,763","6,594,522,339",100.00%
