Risk,"Risk
Rating",Mitigation Strategies
"Changes in the Legal and
Regulatory Environment
Changes in laws and regulations
could expose KenGen to risks that
could result to increased operating
costs ultimately compromising on
(cid:88)(cid:76)(cid:73)(cid:3)(cid:84)(cid:86)(cid:83)(cid:189)(cid:88)(cid:69)(cid:70)(cid:77)(cid:80)(cid:77)(cid:88)(cid:93)(cid:18)(cid:3)(cid:3)",Medium,
"Market Disruptions
KenGen face increased competition
from a variety of new players in the
market.",Medium,
"Reputational Risk
KenGen is a market leader in
the power generation industry
and negative publicity could have
adverse effects which may lead to
a decline in the market share price
and failure to attract investors to
(cid:189)(cid:82)(cid:69)(cid:82)(cid:71)(cid:73)(cid:3)(cid:83)(cid:89)(cid:86)(cid:3)(cid:84)(cid:86)(cid:83)(cid:78)(cid:73)(cid:71)(cid:88)(cid:87)(cid:18)",Medium,
"Social and Community Risk
KenGen’s plants and stations are
located in close proximity to
communities. As a result, projects
may be stopped or delayed and
plants rendered inoperable due to
community agitation.",Medium,
