Year ended 30 June 2024,Column,Column,Column,Column
Financial asset at fair value OCI (Note 23),-,"321,154",-,"321,154"
"Financial asset at fair value through P&L
(Note19)",-,"1,624,333",-,"1,624,333"
Total assets,-,"1,945,487",-,"1,945,487"
