Investor Pools,No. of Shareholders,Shares,% Shareholding
Local Institutions,"7,890","5,061,913,590",76.76
Foreign Investors,952,"871,220,517",13.21
Local Individuals,"181,499","661,388,232",10.03
Total,"190,341","6,594,522,339",100.00
