Financial Covenant,Threshold,Current,Compliance
Leverage ratio,<2.3 (70%),44%,Yes
Current ratio,>1.2,2.1,Yes
DSCR,>1.3,2.13,Yes
"Self-Financing Ratio (minimum contribution by KenGen to project
costs)",>25%,55%,Yes
