No.,Name,Attendance
1.,Mr. William Rahedi (Chair),3
2.,"Mr. Bernard Ndungu - Alternate Director to CS, The National Treasury",1
2.,Mr. Stephen Njue - Alternate Director to PS-State Department of Energy,5
3.,Mr. James Opindi,5
4.,Mr. Abraham Serem,5
