No.,NAME,NUMBER OF SHARES,"PERCENTAGE
SHAREHOLDING"
1.,"Cabinet Secretary -The National
Treasury","4,615,424,088",69.99%
2.,"Stanbic Nominees Limited A/C
NR13931504","495,348,189",7.51%
3.,"Standard Chartered Nominees Ltd
A/C KE002339","120,000,000",1.82%
4.,"Standard Chartered Nominees
Resd A/C KE11450","64,702,437",0.98%
5.,"Stanbic Nominees Limited
R6631578","60,148,649",0.91%
6.,"Standard Chartered Nominees
Resd A/C KE11443","35,163,194",0.53%
7.,"Mavji, Ramila Harji","30,000,000",0.45%
8.,"Njihia, Waithaka Ng'ang'a","22,176,900",0.34%
9.,"Standard Chartered Nominees
Resd A/C KE11436","16,650,190",0.25%
10.,"Standard Chartered Kenya
Nominees Ltd A/C 131550500013","15,250,000",0.23%
11.,Others-193647,"1,119,658,692",16.98%
,Grand Total,"6,594,522,339",100.00%
