Investor Pool,"Number of
Shareholders",Number of shares,% Shareholding
Local Institutions,"7,996","5,155,925,356",78.18
Foreign Investors,962,"856,305,245",12.99
Local Individuals,"181,306","582,291,738",8.83
,"190,264","6,594,522,339",
