Net Finance costs,"(2,084)",304,Column
Profit Before Tax,"11,461","11,747",2%
Tax Expense,"(2,455)","(3,855)",57%
Profit After Tax,"9,006","7,891",-12%
EPS,1.37,1.20,-12%
DPS (KShs),Nil,0.40,
