"Membership
The Committee comprises of three (3) Independent & Non-Executive Directors, one (1) Non-Executive
Director and one (1) Executive Director.
Attendance",Column,Column
No.,NAME,ATTENDANCE
1.,Eng. Frank Konuche (Chair),6
2.,"Mr. Chrispin O. Lupe (Alternate Director to PS-State
Department for Energy)",6
3.,Mr. Umuro Wario,6
4.,Mr. William Rahedi,6
5.,Eng. Peter Njenga,6
