"At start of
year","Charged /
(Credited) to
P/L","Charged /
(Credited) to
OCI",At end of year
Shs’000,Shs’000,Shs’000,Shs’000
"(9,873,325)","1,875,999",-,"(7,997,326)"
"(1,290,170)","(92,707)","(263,722)","(1,646,599)"
"(11,163,495)","1,783,292","(263,722)","(9,643,925)"
"147,718","413,016",-,"560,734"
"170,398","340,796",-,"511,194"
"46,680,761","(1,203,997)","(1,494,173)","43,982,591"
"44,381,461","1,837,931",-,"46,219,392"
"91,380,338","1,387,746","(1,494,173)","91,273,911"
"80,216,843","3,171,038","(1,757,895)","81,629,986"
