Name,Category,Salary,"Directors
Fees","Sitting
Allowances",Honorarium,Telephone,Total
,,Shs'000,Shs'000,Shs'000,Shs '000,Shs '000,Shs '000
"General (Rtd) Samson
Mwathethe",Chairman,-,600,"1,000",960,84,"2,644"
"Ukur Yattani (CS, The
National Treasury
and Planning)",Non-Executive,-,600,-,-,-,600
"Gordon O.
Kihalangwa (PS,
Ministry of Energy)",Non-Executive,-,600,-,-,-,600
Joseph Sitati,Non-Executive,-,600,"1,080",-,-,"1,680"
Maurice Nduranu,Non-Executive,-,600,"1,740",-,-,"2,340"
Phyllis Wakiaga,Non-Executive,-,600,"1,012",-,-,"1,612"
Peris Mwangi,Non-Executive,-,600,"1,520",-,-,"2,120"
James Opindi,Non-Executive,-,600,"1,560",-,-,"2,160"
Samuel Kimani,Non-Executive,-,600,"1,366",-,-,"1,966"
Winnie Pertet,Non-Executive,-,600,"1,660",-,-,"2,260"
"Bernard Ndungu
(Alternate to CS
National Treasury &
Planning)",,-,-,520,-,-,520
"Humphrey Muhu
(Alternate to CS
National Treasury &
Planning)",Non-Executive,-,-,20,-,-,20
"Stephen Njue
(Alternate to PS
Ministry of Energy)",Non-Executive,-,-,420,-,-,420
"William Mbaka -
(Alternate to PS
Ministry of Energy)",Non-Executive,-,-,426,-,-,426
Peter Nyutu,,-,-,"1,620",-,-,"1,620"
Total,,-,"6,000","13,944",960,84,"20,988"
Executive Director,,,,,,,
Rebecca Miano,"Managing Director
and CEO","19,912",-,-,-,-,"19,912"
Total,,"19,912",-,-,-,-,"19,912"
