RISK RISK DESCRIPTION,Column,MITIGATION MEASURES
Legal & Regulatory Risk,"Changes in regulations and
uncertainty in obtaining
geothermal project licenses
pose compliance risks for
KenGen and may hinder
growth. Additionally, changes
in PPA structures could
affect the recovery of capital
investments.","Continuously engaging with
key government and energy
sector entities to secure
licenses, land, and resources,
while ensuring energy PPAs
are cost-reflective and include
payment for deemed energy."
"Single Revenue Stream
Risk","KenGen relies on the primary
off-taker for about 96% of its
revenues, making it vulnerable
to the off-taker’s financial
status.","Adopted a comprehensive
diversification policy to seize
profitable opportunities,
which has facilitated
the launch of several
diversification projects. We
anticipate these initiatives will
generate substantial revenues
and drive significant growth.
Continuously monitoring
adherence to the Capital
Markets Authority (CMA) Code
of Governance, Mwongozo
Code, and company policies,
strengthening corporate
governance through 360
board appraisals, annual
board evaluations and
independent audits, and
act on recommendations.
KenGen has also established
a robust succession planning
mechanism across all levels
for business continuity."
"Leadership & Governance
Risk","Deviation from good corporate
governance can damage
KenGen’s reputation, lead to
asset misappropriation, and
harm corporate performance.
As a listed company,
negative publicity related to
governance and ethics could
also decrease the market
share price.",
