Range,No. of Shareholders,No. of Shares,% Shareholding
,"8,078",(cid:25)(cid:16)(cid:21)(cid:27)(cid:24)(cid:16)(cid:27)(cid:26)(cid:20)(cid:16)(cid:29)(cid:22)(cid:25),
,980,"845,109,089",
,"181,955",(cid:25)(cid:27)(cid:24)(cid:16)(cid:26)(cid:25)(cid:22)(cid:16)(cid:23)(cid:22)(cid:25),
Total,"191,013","6,594,522,339",100.00%
