Financial Covenant,Threshold,Current,Compliance
Current ratio,>1.2,2.1,Yes
Leverage ratio,<2.3,0.9,Yes
DSCR,>1.3,2.6,Yes
Self-Financing Ratio,>25%,107%,Yes
