Risk,"Risk
Rating",Mitigation Strategies
"Single Buyer Model
KenGen currently sells its generated
electric energy to a single off-taker,
Kenya Power. This comes with the
attendant risk of late or delayed
payment for electricity sales which
could have adverse effects on the
(cid:47)(cid:73)(cid:82)(cid:43)(cid:73)(cid:82)(cid:180)(cid:87)(cid:3)(cid:71)(cid:69)(cid:87)(cid:76)(cid:3)(cid:190)(cid:83)(cid:91)(cid:3)(cid:69)(cid:82)(cid:72)(cid:3)(cid:86)(cid:73)(cid:90)(cid:73)(cid:82)(cid:89)(cid:73)(cid:87)(cid:18)",High,
"Resource Sustainability
Unfavourable hydrological
conditions and changes in geological
formation underneath the earth’s
surface could adversely affect the
generating capacity of the Company.",High,
"Power Evacuation from
Generation Sites
This applies to the uncompleted
projects by KETRACO directly
linking to KenGen’s upcoming
projects therefore affecting
the evacuation of power from
generation sites.",High,
"Access to Capital Financing
KenGen needs substantial capital
(cid:88)(cid:83)(cid:3)(cid:189)(cid:82)(cid:69)(cid:82)(cid:71)(cid:73)(cid:3)(cid:77)(cid:88)(cid:87)(cid:3)(cid:70)(cid:89)(cid:87)(cid:77)(cid:82)(cid:73)(cid:87)(cid:87)(cid:3)(cid:84)(cid:80)(cid:69)(cid:82)(cid:3)(cid:69)(cid:82)(cid:72)(cid:3)(cid:77)(cid:82)(cid:3)
particular the capacity expansion
projects.",Medium,
