Column,2018,2017,Change
Source,GWh,GWh,%
Hydro,"3,187","3,339",-5%
Geothermal,(cid:23)(cid:16)(cid:28)(cid:26)(cid:27),"3,282",18%
Thermal,888,872,2%
Wind,47,(cid:26)(cid:23),-25%
Total,"7,989","7,556",6%
