Name,Category,Salary,"Directors
Fees","Sitting
Allowances",Honorarium,Telephone,Total
,,Shs'000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,"Former Chairman,
Non-Executive",-,600,"1,140",960,84,"2,784"
,"Managing
Director & CEO","19,801",-,-,-,-,"19,801"
,Non-Executive,-,600,-,-,-,600
,Non-Executive,-,600,-,-,,600
,Non-Executive,-,600,"1,160",-,,"1,760"
,Non-Executive,-,600,"1,260",-,,"1,860"
,Non-Executive,-,600,"1,180",-,,"1,780"
,Non-Executive,-,600,440,-,,"1,040"
,Non-Executive,-,600,"1,140",-,,"1,740"
,Non-Executive,-,600,500,-,,"1,100"
,Non-Executive,-,600,"1,180",-,,"1,780"
,Non-Executive,-,-,840,-,,840
,Non-Executive,-,-,620,-,,620
,,"19,801","6,000","9,460",960,84,"36,305"
