Name,"Category & Period
of Service",Salary,"Directors’
Fees","Sitting
Allowances",Honorarium,Telephone,Total
,,Shs’000,Shs’000,Shs’000,Shs ‘000,Shs ‘000,
"Julius Migos
Ogamba","Chairman (retired
8 August 2024)",-,600,"1,860",960,84,"3,504"
,"Non-Executive
(Cabinet
Secretary:
National Treasury)",-,600,-,-,-,
Alex Wachira,"Non-Executive
(Principal
Secretary, Ministry
of Energy)",-,600,60,-,-,660
,Non-Executive,-,600,"1,660",-,-,
William Rahedi,Non-Executive,-,600,"1,620",-,-,"2,220"
,Non-Executive,-,600,"1,710",-,-,
"Dr. Rosemarie
Wairimu Wanyoike",Non-Executive,-,600,"1,600",-,-,"2,200"
,"Non-Executive-
Elected as a
Director at the
AGM on 30
November 2023
(Appointed by the
Board of Directors
on 28 October as
the Chairman of
the Board until the
2024 AGM)",-,350,960,-,-,
Umuro Wario,"Non-Executive-
(Appointed on 1
December 2023)",-,350,900,,,"1,250"
Bernard Ngugi,"Non-Executive-
(Appointed on 1
December 2023)",-,350,"1,020",-,-,"1,370"
"Chrisologus
Makokha","(Appointed on 26
January 2023)",-,-,"1,140",-,-,"1,140"
Kennedy Ondieki,"(Alternate to CS
National Treasury
& Planning:
Appointed on 30
April 2024)",-,-,120,-,-,120
