Column,"30 June 2022
KShs Million","30 June 2021
KShs Million"
"Equity attributable to
shareholders","275,082","206,982"
Current debt,"11,917","10,798"
Non-current debt,"122,216","134,778"
Total debt,"134,133","145,575"
Total capitalization,"409,214","352,558"
