No.,Project Name,Issuance period (Vintage),"Available CERs
(tCO e)
2"
1.,"Olkaria II Geothermal
Expansion Project
UN Project ID: 3773",01/10/2014 - 03/12/2017,"292,616"
,,04/12/2017 - 31/12/2020,"111,904"
2.,"Redevelopment of Tana
Hydro Power Station Project
UN Project ID: 5023",01/01/2013 - 30/09/2018,"56,309"
,,01/10/2018 - 31/12/2020,"23,673"
3.,"Optimisation of Kiambere
Hydro",01/11/2012 - 30/06/2013,"36,110"
,,01/07/2013 - 30/09/2018,"120,697"
,,01/10/2018 - 31/12/2020,"27,775"
4.,"Olkaria IV Geothermal
Project
UN Project ID: 8646",01/09/2014 - 31/12/2018,"1,985,297"
,,01/01/2019 - 31/12/2020,"840,985"
5.,"Olkaria I Units 4&5
Geothermal Project
UN Project ID: 8643",01/01/2015 - 31/12/2018,"1,999,705"
,,01/01/2019 - 31/12/2020,"853,361"
6.,"5.1MW Ngong Wind
UN Project ID: 9960",01/07/2014 - 30/09/2018,"23,391"
,,01/10/2018 - 31/12/2020,"12,575"
Total CERs (tCO2e),,,"6,384,398"
