NAME,ATTENDANCE
Mr. William Rahedi - Chairperson,9
Mr. Kennedy Ondieki - Alternate Director to CS-National Treasury,1
Mr. Chrispin Lupe - Alternate Director to PS-State Department for Energy,1
Eng. Frank Konuche,4
Eng. Peter Njenga,9
