NAME,ATTENDANCE
Eng. Frank Konuche (Chairperson),2
"Mr. Chrispin Lupe - Alternate Director to PS-State
Department for Energy",1
Mr. Umuro Wario,2
Mr. William Rahedi,5
Eng. Peter Njenga,5
