Name,Attendance
Mr. Joshua Choge,8
Mrs. Rebecca Miano,8
Mrs. Ziporah Ndegwa,7
Dr. Musa Arusei,8
Mr. Kairu Bachia,8
Mr. Joseph Sitati,8
Mr. Maurice Nduranu,7
Mrs. Phyllis Wakiaga,(cid:26)(cid:3)
Mr. Humphrey Muhu,(cid:26)
Mr. William Mbaka,8
Dr. Reginalda Wanyonyi,3
Dorcas Kombo,5
Albert Mugo,4
