Financial Covenants,Threshold,30th June 2025,Compliance
Leverage Ratio,<2.3 (70%),42%,√
Current Ratio,>1.2,2.62,√
"Debt Service Cover
Ratio",>1.2,4.16,√
Self-Financing Ratio,>25%,77%,√
