Column,Name,Attendance
1,Joseph Sitati,12
2,Humphrey Muhu (Alternate Director to CS The National Treasury),11
3,Phyllis Wakiaga,12
4,Peris Mwangi,7 (Appointed on 3rd Nov 2020)
5,Samuel Kimani,1
