Column,Column,2023,2022,Column
,,Shs’000,Shs’000,
,,,Restated*,
,,"432,483,315","440,181,406",
,,"2,256,114","2,259,146",
,,"6,579,750","6,817,943",
Financial assets at amortized cost,18,"4,358,942","4,443,409","4,642,164"
Contract asset,18(d),"5,347,560","4,595,112","4,496,503"
,,"17,816,799","2,888,923",
,,"1,861,357","1,344,220",
,,"470,703,837","462,530,159",
Current assets,,,,
Inventories,20,"1,848,446","1,447,124","2,051,828"
Trade receivables,21,"21,448,878","20,594,295","24,348,846"
Corporate tax recoverable,13(c),"441,713","348,627","385,696"
Financial assets at amortized cost,18,"137,244","136,046","140,653"
Financial assets at fair value through profit or loss,19,"2,236,554","1,104,809","1,084,721"
Other receivables and prepayments,22,"4,441,700","1,428,312","1,755,119"
Financial asset at fair value through other comprehensive income,23,"320,422","338,920","360,957"
,,"14,998,431","12,383,934",
,,"45,873,388","37,782,067",
,,"516,577,225","500,312,226",
,,"16,487,710","16,487,710",
,,"22,151,131","22,151,131",
,,"122,361,165","129,272,244",
,,"113,193,447","106,686,340",
,,"274,193,453","274,597,425",
,,"137,042,085","122,216,146",
,,"81,629,986","80,216,843",
,,"691,876","828,574",
,,"833,351","331,949",
,,-,-,
,,"220,197,298","203,593,512",
,,"12,809,721","11,916,546",
,,"8,293,841","8,594,803",
,,-,-,
,,"159,826","225,312",
,,"923,086","1,384,628",
,,"22,186,474","22,121,289",
,,"516,577,225","500,312,226",
