Year ended 30 June 2025,Column,Column,Column
At start of year,"(1,893,904)","261,388","(1,632,516)"
ECL movement in the year,"417,960","(1,180,357)","(762,397)"
At end of year,"(1,475,944)","(918,969)","(2,394,913)"
Year ended 30 June 2024,,,
At start of year,"(824,845)","(1,375,037)","(2,199,882)"
ECL movement in the year,"(1,069,059)","1,636,425","567,366"
At end of year,"(1,893,904)","261,388","(1,632,516)"
