Name,Category,Salary,"Directors
Fees",Allowances,Honorarium,Total
,,Shs'000,Shs'000,Shs'000,Shs '000,Shs '000
Joshua Choge,"Chairman,
Non-Executive",-,(cid:26)(cid:20)(cid:20),(cid:21)(cid:16)(cid:26)(cid:22)(cid:20),(cid:29)(cid:26)(cid:20),"3,180"
Albert Mugo,"Managing
Director and
CEO","23,703",-,-,-,"23,703"
"Henry Rotich
(CS, The National Treasury
and Planning)",Non-Executive,-,(cid:26)(cid:20)(cid:20),-,-,(cid:26)(cid:20)(cid:20)
"Joseph Njoroge (PS,
Ministry of Energy)",Non-Executive,-,(cid:26)(cid:20)(cid:20),-,-,(cid:26)(cid:20)(cid:20)
Dorcas Kombo,Non-Executive,-,(cid:26)(cid:20)(cid:20),(cid:21)(cid:16)(cid:26)(cid:24)(cid:20),-,"2,240"
Ziporah Ndegwa,Non-Executive,-,(cid:26)(cid:20)(cid:20),(cid:21)(cid:16)(cid:25)(cid:26)(cid:20),-,(cid:22)(cid:16)(cid:21)(cid:26)(cid:20)
Musa Arusei,Non-Executive,-,(cid:26)(cid:20)(cid:20),"1,840",-,"2,440"
Kairu Bachia,Non-Executive,-,(cid:26)(cid:20)(cid:20),"1,440",-,"2,040"
Joseph Sitati,Non-Executive,-,(cid:26)(cid:20)(cid:20),"1,220",-,"1,820"
Maurice Nduranu,Non-Executive,-,(cid:26)(cid:20)(cid:20),"1,020",-,(cid:21)(cid:16)(cid:26)(cid:22)(cid:20)
"Phyllis Wakiaga
(Elected on 30 November
(cid:22)(cid:20)(cid:21)(cid:26)(cid:13)",Non-Executive,-,348,380,-,728
"Millicent Omanga (Retired
(cid:83)(cid:82)(cid:3)(cid:23)(cid:20)(cid:3)(cid:50)(cid:83)(cid:90)(cid:73)(cid:81)(cid:70)(cid:73)(cid:86)(cid:3)(cid:22)(cid:20)(cid:21)(cid:26)(cid:13)",Non-Executive,-,252,(cid:28)(cid:26)(cid:20),-,"1,112"
"Humphrey Muhu
(Alternate to Henry
Rotich)",Non-Executive,-,-,"1,340",-,"1,340"
"William Mbaka - Alternate
to Joseph Njoroge
(Appointed on 4 October
(cid:22)(cid:20)(cid:21)(cid:26)(cid:13)",Non-Executive,-,-,"1,000",-,"1,000"
"Momata Gichana
(Retired on 4 October
(cid:22)(cid:20)(cid:21)(cid:26)(cid:13)",Non-Executive,-,-,80,-,80
Total,,"23,703","6,000","14,000",960,"44,663"
