"2024
Shs’000","2023
Shs’000"
"6,797,012","5,016,477"
"(912,714)
273,814
(382,572)
114,772","(860,574)
258,172
(4,980,578)
1,494,173"
"(906,700)","(4,088,807)"
"732
(220)","(18,498)
5,549"
512,"(12,949)"
"(906,188)","(4,101,756)"
"5,890,824","914,721"
