Name,Category,Salary,"Directors
Fees","Sitting
Allowances",Honorarium,Telephone,Total
,,Shs'000,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
,Chairman,-,600,"1,000",960,84,
,"Managing
Director and CEO","19,912",-,-,-,-,
,Non-Executive,-,600,-,-,-,
,Non-Executive,-,600,-,-,-,
,Non-Executive,-,600,"1,080",-,-,
,Non-Executive,-,600,"1,740",-,-,
,Non-Executive,-,600,"1,012",-,-,
,Non-Executive,-,600,"1,520",-,-,
,Non-Executive,-,600,"1,560",-,-,
,Non-Executive,-,600,"1,366",-,-,
,Non-Executive,-,600,"1,660",-,-,
,,-,-,520,-,-,
,Non-Executive,-,-,20,-,-,
,Non-Executive,-,-,420,-,-,
,Non-Executive,-,-,426,-,-,
,,-,-,"1,620",-,-,
,,"19,912","6,000","13,944",960,84,
