No.,"Audit, Risk & Compliance Committee",Attendance
,Samuel Kimani – Chairperson,
2.,"Bernard Ndungu (Alternate Director to the
CS The National Treasury)",5
,Phyllis Wakiaga,
4.,Peris Mwangi,8
,Winnie Pertet,
