Column,2023,2022
,Shs’000,Shs’000
Authorised but not contracted for,"97,350,506","93,721,489"
Authorised and contracted for,"71,086,276","58,178,084"
Less: Amounts included in Work in progress,"(57,108,275)","(57,071,094)"
,"111,328,507","94,828,479"
