30 June 2024,Column,Column,Column,Column,Column
"Trade receivables
-Kenya Power","17,096,299","(420,067)","(46,639)",-,"16,629,593"
"Treasury bonds at
amortized cost","2,347,528","(24,486)",-,-,"2,323,042"
Treasury bonds at FVOCI,"321,154",-,-,-,"321,154"
Deferred debt receivable,"692,885","(26,500)",-,-,"666,385"
Financial asset-IFRIC 12,"1,302,371","(4,172)",-,-,"1,298,199"
Other receivables,"1,623,855","(629,938)","15,186","292,842","1,301,945"
"Cash and cash equivalents
held at bank","25,618,247","(767,905)",-,-,"24,850,342"
Restricted cash,"2,733,585","(20,836)",-,-,"2,712,749"
Exposure to credit risk,"51,735,924","(1,893,904)","(31,453)","292,842","50,103,409"
