Category,2020/2021,2019/2020
,(Awards in KShs. 000),(Awards in KShs. 000)
Youth,"373,295","1,196,347"
Women,"637,012","1,046,479"
PWDs,"185,381","438,208"
Total Awarded,"1,195,688","2,681,034"
Allocated,"2,740,370","2,935,117"
