2022,2021,2022,Column
378 738,"81 827
(523 693)
10 788
229 719
763 687
(907 593)",175 274,
(799 081),,–,
10 757,,–,
286 879,,–,
(193 967),,–,
(1 026 405),,–,
(1 343 079),"(345 265)
(110 302)
432 835
878 162
70 573
53 426
29 759
2 428
6 824
–
8 877
(2 158 708)",175 274,
(337 592),,–,
441 501,,–,
994 511,,–,
70 163,,–,
69 349,,–,
33 771,,–,
–,,–,
(771),,–,
537,,–,
–,,–,
(896 726),,–,
(968 336),"(1 131 391)
(183 411)",175 274,
459 147,,(24 896),
(80 733),"(68 114)
(115 297)",(10 749),"16 733
(26 691)"
539 880,,(14 147),
(509 189),(1 314 802),150 378,
