"Present value
of future
cash flows","Risk
adjustment for
non-financial
risk",CSM,"Total
participating
contracts"
8 050 237,108 940,569 827,8 729 004
–,–,–,–
8 050 237,108 940,569 827,8 729 004
161 391,(19 499),(309 129),(167 237)
–,–,(309 129),(309 129)
–,(19 499),–,(19 499)
161 391,–,–,161 391
(220 672),(24 008),229 940,(14 740)
(45 263),(3 125),48 388,–
(149 154),(21 692),148 657,(22 189)
(26 255),809,32 895,7 449
–,–,–,–
–,–,–,–
–,–,–,–
–,–,–,–
(59 281),(43 507),(79 189),(181 977)
237 571,5 418,61 503,304 492
–,–,–,–
178 290,(38 089),(17 686),122 515
(899 404),–,–,(899 404)
1 712 038,–,–,1 712 038
(2 242 144),–,–,(2 242 144)
(253 768),–,–,(253 768)
(115 530),–,–,(115 530)
–,–,–,–
7 329 123,70 851,552 141,7 952 115
–,–,–,–
7 329 123,70 851,552 141,7 952 115
