Standard,Effective date
Onerous contracts: Cost of fulfilling a contract (Amendment to IAS 37),1 January 2022
"The changes specify that the cost of fulfilling a contract comprises the costs that relate directly to the contract. Costs that
relate directly to a contract can either be incremental costs of fulfilling that contract examples would be direct labor and
materials or an allocation of other costs that relate directly to fulfilling contracts.",
"Property, plant and equipment: Proceeds before intended use (Amendment to IAS 16)",1 January 2022
"The amendments prohibit a company from deducting from the cost of property, plant and equipment amounts received
from selling items produced while the company is preparing the asset for its intended use. Instead, a company will recognize
such sales proceeds and related cost in profit or loss.",
Annual improvements to IFRS standards 2018-2020,1 January 2022
"The annual improvements provide a streamlined process for dealing efficiently with a collection of amendments to IFRSs.
The primary objective is to enhance the quality of standards, by amending existing Standards to clarify guidance and wording,
or to correct for relatively minor unintended consequences, conflicts or oversights. Amendments are made through the
annual improvements process when the amendment is considered non-urgent but necessary",
Reference to Conceptual Framework (Amendment to IFRS 3),1 January 2023
"The amendments updated the reference to the Conceptual Framework. They also added to IFRS 3 an exception to its
requirement for an entity to refer to the Conceptual Framework to determine what constitutes an asset or a liability. The
exception specifies that, for some types of liabilities and contingent liabilities, an entity applying IFRS 3 should instead refer
to IAS 37 Provisions, Contingent Liabilities and Contingent Assets. The Board added this exception to avoid an unintended
consequence of updating the reference. Without the exception, an entity would have recognized some liabilities on the
acquisition of a business that it would not recognize in other circumstances. Immediately after the acquisition, the entity
would have had to derecognize such liabilities and recognize a gain that did not depict an economic gain.",
Classification of liabilities as current or non-current (Amendment to IAS 1),1 January 2023
"The amendments clarify how an entity classifies debt and other financial liabilities as current or non-current in particular
circumstances.",
Sale or contribution of assets between an investor and its associate or company (Amendments to IFRS 10 and IAS 28),"Effective
date has not
been confirmed"
"The amendments address an inconsistency between the requirements in IFRS 10 and those in IAS 28, in dealing with the sale
or contribution of assets between an investor and its associate or joint venture. The main consequence of the amendments
is that a full gain or loss is recognised when a transaction involves a business (whether it is housed in a subsidiary or not). A
partial gain or loss is recognised when a transaction involves assets that do not constitute a business, even if these assets
are housed in a subsidiary",
