CfC Life Assurance Limited,"Long-term
business 2013
Shs’ 000","Long-term
business 2012
Shs’ 000","Long-term
business 2011
Shs’ 000"
Admitted assets,"20,148,496","17,831,680","12,788,518"
Admitted liabilities,"(18,606,461)","(16,755,441)","(12,053,934)"
Solvency margin,"1,542,035","1,076,239","734,584"
Required margin,"930,323","937,772","602,697"
Heritage Insurance Company Kenya Limited,"Short-term
business 2013
Shs’ 000","Short-term
business 2012
Shs’ 000","Short-term
business 2011
Shs’ 000"
Total admitted assets,"4,113,284","4,229,219","5,045,921"
Total admitted liabilities,"(2,867,936)","(2,968,364)","(4,395,391)"
Add: 5% of admitted liabilities,,-,"(81,209)"
Add: 15% of previous year's net written premium,"(315,327)","(356,444)","(272,261)"
Total liabilities and minimum requirement,"(3,183,263)","(3,324,808)","(4,748,861)"
Solvency margin,"930,021","904,411","297,060"
Required margin,"315,327","356,444","191,052"
Heritage Insurance Company Tanzania Limited,"Short-term
business 2013
Shs’ 000","Short-term
business 2012
Shs’ 000","Short-term
business 2011
Shs’ 000"
Total admitted assets,"1,702,871","1,557,820","1,511,845"
Total admitted liabilities,"(1,336,297)","(1,229,626)","(1,255,572)"
Add: 15% of previous year's net written premium,"(139,822)","(121,176)","(114,571)"
Total liabilities and minimum requirement,"(1,476,119)","(1,350,802)","(1,370,143)"
Solvency margin,"226,752","207,018","141,702"
Required margin,"139,822","121,176","114,571"
