"As previously
reported at
31 December
2023",Column,"Restated
December
2023"
,"(32) (2 972)
170 3 742",
13 832,,10 828
(12 536),,(8 624)
1 296,"138 770
(96) (776)",2 204
(381),,(1 253)
915,42 (6),951
151,"87 (89)
– (123)
– (7)
– –
– –",149
1 366,,1 243
597,,590
(412),,(412)
(146),,(146)
1 556,87 (219),1 424
(191),"(156) (80)
27 114",(427)
(142),,(1)
(333),(129) 34,(428)
2 138,– (191),1 947
149,"– –
– 109
– 3",149
(1 183),,(1 074)
(5),,(2)
1 099,"– (79)
– 38",1 020
(427),,(389)
672,"– (41)
– 41",631
–,,41
672,"– –
– –",672
13,,13
13,– –,13
13,– –,13
685,– –,685
