2021,2020,2021,Column
107 817,(34 216),–,
–,"(65 098)
30 882",–,"–
–"
107 817,,–,
(263 229),"(279 399)
(107 817)",–,
(157 946),,–,
–,"–
(107 817)",–,"–
–"
(157 946),,–,
(313 358),(421 432),–,
