Contractual cash flows (excluding IFRS 17 insurance contract balances),Column,Column,Column,Column,Column
0 – 3 months(1),3 – 12 months,"1 – 5
years","5 – 10
years",Variable,Total
1 351 318,480 264,–,–,–,1 831 582
–,7 087 530,–,–,–,7 087 530
94 000,–,86 199,–,–,180 199
,37 240,96 591,,,133 831
1 445 318,7 605 034,182 790,–,–,9 233 142
16,82,2,–,–,100
