ARC,ARIC
"Risk
Presen adjust Total general
t value ment medical
Excluding of for insurance
loss Loss future non- contracts
recovery recovery cash financi Total measured
component component Total ARC flows al risk ARIC under PAA",
224 – 224 192 5 197 421,
224 – 224 192 5 197 421,
"(476) – (476) – – – (476)
– – – 428 (4) 424 424",
(476) – (476) 426 (4) 422 (54),
"(476) – (476) 426 (4) 422 (54)
258 – 258 (504) – (504) (246)",
"258 – 258 – – – 258
– – – (504) – (504) (504)",
6 – 6 114 1 115 121,
6 – 6 114 1 115 121,
