2024,2023,2024,2023
1 402,672,125,26
,,–,
(1 395),(1 366),–,–
8,5,–,–
721,427,–,–
(901),78,–,–
(165),(184),125,26
2 154,412,–,–
1 816,2 209,–,–
486,(2 189),–,–
89,62,–,–
71,69,–,–
36,38,–,–
–,(58),–,–
5,(3),–,–
40,(2),–,–
212,146,–,–
(5 736),(598),–,–
(1 055),(96),125,26
47,73,59,(38)
(38),(207),32,(40)
85,280,27,2
(1 008),(24),184,(12)
