"Change in variable
%","Gross of reinsurance
impact on
policyholder
contract values","Net of reinsurance
impact on
policyholder
contract values","Impact on ordinary
shareholders' equity
and attributable
profit
after taxation"
+2,3 212,3 212,(3 212)
-2,(3 212),(3 212),3 212
+4,705,705,(705)
-4,(691),(705),705
+5,,,
-5,,,
+8,(25 440),(25 440),25 440
-8,26 760,25 440,(25 440)
+5,69 425,69 425,(69 425)
-5,(68 875),(69 425),69 425
+12,(145 303),(145 303),63 634
-12,167 439,167 439,(73 628)
+15,494 613,494 613,98 923
-15,(494 613),(494 613),(98 923)
