2021,2020,2021,2020,2021
92 807,203 976,–,174 379,–
10 319,"12 859
191 117",–,"–
174 379",–
82 488,,,,–
59 532,(111 169),32 691,181 744,5 448
(168),"(2 540)
(108 629)",–,"–
181 744",57
59 700,,32 691,,5 391
152 339,92 807,–,356 123,–
10 151,"10 319
82 488",–,"–
356 123",–
142 188,,–,,–
152 339,92 807,32 691,356 123,5 448
