Column,"Impact on ordinary shareholders' equity and
attributable profit after taxation",Column,Column
"Change in variable(1)
%",Gross of reinsurance,Net of reinsurance,"Impact on CSM
(net of reinsurance
and taxation)"
+4.5,(39 825),(33 741),(11 189)
+6.5(2),(441),(441),(4 478)
+10,(9 890),(7 960),(88)
+10,(1 488),(1 080),(6 055)
-10,2 779,2 371,5 192
+5.5,(62 962),(62 962),(37 349)
+10,(81 076),(67 950),(9 896)
+19,(19 652),(15 977),(65)
+21,(4 222),(3 366),(3 340)
