Column,Column,Group,Column,Column,Company,Column
,Notes,,2023,"Restated
2022(1)",2023,
Insurance revenue,22,,13 832 218,12 299 582,–,–
Insurance service expense,23,,(12 537 014),(9 860 759),–,–
,,,1 295 204,2 438 823,–,
Net expense from reinsurance contracts held,24,,(381 352),(2 071 258),–,
,,,913 852,367 565,–,
,,,150 671,11 715,140 000,
,,,1 365 870,988 659,–,
"Fair value adjustments to assets held at fair value through profit or
loss",27,,597 461,799 274,–,–
"Fair value adjustment to long-term policyholders liabilities under
investment contracts",13,,(412 026),(273 867),–,
Fair value adjustment to financial liabilities,28,,(145 546),(96 476),–,–
,,,1 556 430,1 429 305,140 000,
,,,(190 637),(532 379),–,
Finance expenses from reinsurance contracts held,30,,(141 721),(19 798),–,–
,,,(332 358),(552 177),–,
,,,2 137 924,1 244 693,140 000,
,,,149 045,128 524,–,
Other operating expenses,32,,(1 182 269),(855 360),(113 851),(174 726)
Finance costs,33,,(5 219),(10 757),–,–
,,,1 099 481,507 100,26 149,
Taxation,34.1,,(427 502),(239 391),–,–
,,,671 979,267 709,26 149,
Other comprehensive income,,,13 363,63 987,–,–
Items that may be reclassified subsequently to profit or loss,,,13 363,63 987,–,–
Foreign currency translation,,,13 363,63 987,–,–
,,,685 342,331 696,26 149,
Shareholders’ equity,,,655 604,222 806,26 149,175 274
Non-controlling interests,35.1,,16 375,44 903,–,–
,,,671 979,267 709,26 149,
Shareholders’ equity,,,663 622,261 196,26 149,175 274
Non-controlling interests,35.2,,21 720,70 500,–,–
,,,685 342,331 696,26 149,
,,,1.22,,,
